Game,Manufacturer,Platform,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestOfWorld,Global
Wii Sports,Nintendo,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.54
Super Mario Bros.,Nintendo,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
Mario Kart Wii,Nintendo,Wii,2008,Racing,Nintendo,15.7,12.85,3.8,3.29,35.64
Wii Sports Resort,Nintendo,Wii,2009,Sports,Nintendo,15.61,10.95,3.29,2.95,32.79
Pokemon Red/Pokemon Blue,Nintendo,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37
Tetris,Nintendo,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
New Super Mario Bros.,Nintendo,DS,2006,Platform,Nintendo,11.28,9.15,6.5,2.88,29.81
Wii Play,Nintendo,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92
New Super Mario Bros. Wii,Nintendo,Wii,2009,Platform,Nintendo,14.5,6.95,4.7,2.25,28.4
Duck Hunt,Nintendo,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
Nintendogs,Nintendo,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67
Mario Kart DS,Nintendo,DS,2005,Racing,Nintendo,9.71,7.48,4.13,1.9,23.23
Pokemon Gold/Pokemon Silver,Nintendo,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1
Wii Fit,Nintendo,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7
Kinect Adventures!,Microsoft,X360,2010,Misc,Microsoft,15.07,4.94,0.24,1.7,21.95
Wii Fit Plus,Nintendo,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79
Grand Theft Auto V,Sony,PS3,2013,Action,Take-Two,7.06,9.26,0.99,4,21.31
Grand Theft Auto: San Andreas,Sony,PS2,2004,Action,Take-Two,9.43,0.4,0.41,10.57,20.81
Super Mario World,Nintendo,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
Brain Age: Train Your Brain in Minutes a Day,Nintendo,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15
Pokemon Diamond/Pokemon Pearl,Nintendo,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25
Super Mario Land,Nintendo,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
Super Mario Bros. 3,Nintendo,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
Grand Theft Auto V,Microsoft,X360,2013,Action,Take-Two,9.73,5.21,0.06,1.42,16.43
Grand Theft Auto V,Sony,PS4,2014,Action,Take-Two,4.9,8.26,0.53,2.51,16.2
Grand Theft Auto: Vice City,Sony,PS2,2002,Action,Take-Two,8.41,5.49,0.47,1.78,16.15
Pokemon Ruby/Pokemon Sapphire,Nintendo,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
Pokemon X/Pokemon Y,Nintendo,3DS,2013,Role-Playing,Nintendo,5.56,4.73,4.39,0.84,15.52
Brain Age 2: More Training in Minutes a Day,Nintendo,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29
Pokemon Black/Pokemon White,Nintendo,DS,2010,Role-Playing,Nintendo,5.51,3.18,5.66,0.8,15.15
Call of Duty: Black Ops 3,Sony,PS4,2015,Shooter,Activision,6.05,6.2,0.4,2.44,15.09
Gran Turismo 3: A-Spec,Sony,PS2,2001,Racing,Sony,6.85,5.09,1.87,1.16,14.98
Call of Duty: Modern Warfare 3,Microsoft,X360,2011,Shooter,Activision,9.07,4.28,0.13,1.33,14.81
Call of Duty: Black Ops,Microsoft,X360,2010,Shooter,Activision,9.76,3.72,0.11,1.14,14.73
Pokémon Yellow: Special Pikachu Edition,Nintendo,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
Pokemon Sun/Moon,Nintendo,3DS,2016,Role-Playing,Nintendo,5.71,4.16,3.72,0.94,14.53
Mario Kart 7,Nintendo,3DS,2011,Racing,Nintendo,5.48,4.51,2.86,0.99,13.85
Call of Duty: Black Ops II,Sony,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.8
Call of Duty: Black Ops II,Microsoft,X360,2012,Shooter,Activision,8.27,4.29,0.07,1.12,13.75
Call of Duty: Modern Warfare 2,Microsoft,X360,2009,Shooter,Activision,8.52,3.62,0.08,1.28,13.51
Call of Duty: Modern Warfare 3,Sony,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32
Grand Theft Auto III,Sony,PS2,2001,Action,Take-Two,6.99,4.51,0.3,1.3,13.1
Super Smash Bros. Brawl,Nintendo,Wii,2008,Fighting,Nintendo,6.64,2.55,2.67,1.01,12.88
Call of Duty: Black Ops,Sony,PS3,2010,Shooter,Activision,6.01,4.37,0.48,1.8,12.65
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,3DS,2014,Role-Playing,Nintendo,4.67,3.96,3.14,0.8,12.57
Animal Crossing: Wild World,Nintendo,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13
Halo 3,Microsoft,X360,2007,Shooter,Microsoft,7.97,2.81,0.13,1.21,12.12
Super Mario 64,Nintendo,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
Pokemon HeartGold/Pokemon SoulSilver,Nintendo,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77
Gran Turismo 4,Sony,PS2,2004,Racing,Sony,3.01,0.01,1.1,7.53,11.66
Super Mario Galaxy,Nintendo,Wii,2007,Platform,Nintendo,6.06,3.36,1.2,0.74,11.36
FIFA 17,Sony,PS4,2016,Sports,EA,1.23,8.22,0.12,1.65,11.22
Super Mario Land 2: 6 Golden Coins,Nintendo,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
Grand Theft Auto IV,Microsoft,X360,2008,Action,Take-Two,6.79,3.09,0.14,1.04,11.05
Gran Turismo,Sony,PS,1997,Racing,Sony,4.02,3.87,2.54,0.52,10.95
Super Mario 3D Land,Nintendo,3DS,2011,Platform,Nintendo,4.9,3.1,2.15,0.79,10.94
Gran Turismo 5,Sony,PS3,2010,Racing,Sony,2.96,4.82,0.81,2.11,10.7
Call of Duty: Modern Warfare 2,Sony,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6
Super Mario All-Stars,Nintendo,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
Grand Theft Auto IV,Sony,PS3,2008,Action,Take-Two,4.78,3.7,0.44,1.61,10.52
Pokemon FireRed/Pokemon LeafGreen,Nintendo,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
New Super Mario Bros. 2,Nintendo,3DS,2012,Platform,Nintendo,3.67,3.56,2.57,0.65,10.46
Call of Duty: Ghosts,Microsoft,X360,2013,Shooter,Activision,6.76,2.59,0.04,0.92,10.3
Super Mario 64,Nintendo,DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3
Just Dance 3,Nintendo,Wii,2011,Misc,Ubisoft,5.95,3.11,0,1.06,10.12
Halo: Reach,Microsoft,X360,2010,Shooter,Microsoft,7.08,2,0.08,0.8,9.95
Mario Kart 64,Nintendo,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
Animal Crossing: New Leaf,Nintendo,3DS,2012,Simulation,Nintendo,2.22,2.58,4.64,0.42,9.87
Halo 4,Microsoft,X360,2012,Shooter,Microsoft,6.71,2.34,0.04,0.75,9.83
Final Fantasy VII,Sony,PS,1997,Role-Playing,Sony,3.01,2.47,3.28,0.96,9.72
Minecraft,Microsoft,X360,2013,Misc,Microsoft,5.89,2.81,0.02,0.84,9.56
Uncharted 4: A Thief's End,Sony,PS4,2016,Shooter,Sony,4.19,3.59,0.2,1.57,9.55
Gran Turismo 2,Sony,PS,1999,Racing,Sony,3.88,3.42,1.69,0.5,9.49
Just Dance 2,Nintendo,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44
Call of Duty 4: Modern Warfare,Microsoft,X360,2007,Shooter,Activision,5.97,2.4,0.13,0.91,9.4
Call of Duty: Ghosts,Sony,PS3,2013,Shooter,Activision,4.11,3.63,0.39,1.26,9.38
Donkey Kong Country,Nintendo,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3
Mario Party DS,Nintendo,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91
The Elder Scrolls V: Skyrim,Microsoft,X360,2011,Role-Playing,Bethesda,5.09,2.81,0.1,0.86,8.87
Super Mario Kart,Nintendo,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
FIFA 16,Sony,PS4,2015,Sports,EA,1.14,6.16,0.07,1.29,8.66
Star Wars Battlefront (2015),Sony,PS4,2015,Shooter,EA,3.26,3.68,0.23,1.37,8.53
Halo 2,Microsoft,XB,2004,Shooter,Microsoft,6.82,1.53,0.05,0.08,8.49
Wii Party,Nintendo,Wii,2010,Misc,Nintendo,1.75,3.48,2.49,0.67,8.39
Mario Party 8,Nintendo,Wii,2007,Misc,Nintendo,3.74,2.25,1.58,0.71,8.28
FIFA Soccer 13,Sony,PS3,2012,Action,EA,1.07,5.01,0.13,1.97,8.17
GoldenEye 007,Nintendo,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
Pokemon Black 2/Pokemon White 2,Nintendo,DS,2012,Role-Playing,Nintendo,2.79,1.73,3.16,0.41,8.09
Final Fantasy X,Sony,PS2,2001,Role-Playing,Sony,2.91,2.07,2.73,0.33,8.05
Mario & Sonic at the Olympic Games,Nintendo,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99
Super Smash Bros. for Wii U and 3DS,Nintendo,3DS,2014,Fighting,Nintendo,3.43,1.48,2.49,0.5,7.9
Final Fantasy VIII,Sony,PS,1999,Role-Playing,Square,2.28,1.72,3.63,0.23,7.86
Fallout 4,Sony,PS4,2015,Role-Playing,Bethesda,2.68,3.67,0.25,1.23,7.83
Pokémon Platinum Version,Nintendo,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72
Call of Duty: Advanced Warfare,Sony,PS4,2014,Shooter,Activision,2.84,3.48,0.14,1.24,7.7
